Date,Q,FMES
11.11.2017,"3,27","8,40"
12.11.2017,"3,34","8,63"
13.11.2017,"3,32","8,56"
14.11.2017,"3,21","8,21"
15.11.2017,"3,08","7,79"
16.11.2017,"2,76","6,78"
17.11.2017,"2,31","5,42"
18.11.2017,"2,14","4,92"
19.11.2017,"2,16","4,98"
20.11.2017,"2,11","4,84"
21.11.2017,"2,27","5,30"
22.11.2017,"2,40","5,69"
23.11.2017,"2,36","5,57"
24.11.2017,"2,67","6,51"
25.11.2017,"2,55","6,14"
26.11.2017,"2,48","5,93"
27.11.2017,"2,60","6,29"
28.11.2017,"1,92","4,29"
29.11.2017,"1,70","3,68"
30.11.2017,"1,80","3,96"
01.12.2017,"1,94","4,35"
02.12.2017,"2,57","6,20"
03.12.2017,"3,61","9,51"
04.12.2017,"3,68","9,75"
05.12.2017,"2,87","7,13"
06.12.2017,"2,55","6,14"
07.12.2017,"2,71","6,63"
08.12.2017,"2,80","6,91"
09.12.2017,"2,54","6,11"
10.12.2017,"2,52","6,05"
11.12.2017,"2,37","5,60"
12.12.2017,"2,31","5,42"
13.12.2017,"4,32","11,93"
14.12.2017,"3,48","9,08"
15.12.2017,"3,31","8,53"
16.12.2017,"2,78","6,85"
17.12.2017,"3,05","7,69"
18.12.2017,"3,23","8,27"
19.12.2017,"3,39","8,79"
20.12.2017,"4,02","10,90"
21.12.2017,"3,96","10,69"
22.12.2017,"3,25","8,33"
23.12.2017,"2,90","7,22"
24.12.2017,"2,50","5,99"
25.12.2017,"2,16","4,98"
26.12.2017,"2,21","5,13"
27.12.2017,"1,83","4,04"
28.12.2017,"2,31","5,42"
29.12.2017,"4,21","11,55"
30.12.2017,"4,70","13,27"
31.12.2017,"4,72","13,34"
