theta,q
0.3850415512465374, 0.9972396091099396
0.3739612188365651, 1.1641968250604817
0.4487534626038781, 1.5013107289081726
0.4099722991689751, 1.4684756404424628
0.45706371191135736, 1.8936988889503603
0.518005540166205, 1.5866465512586496
0.4986149584487535, 2.1623897475327523
0.518005540166205, 3.114564713485614
0.6066481994459834, 3.8426767575034395
0.6786703601108033, 3.8426767575034395
0.8033240997229917, 3.717304104567536
0.739612188365651, 3.291599311301591
0.7451523545706371, 5.658496875715393
0.8393351800554016, 5.295287638339757
0.8033240997229917, 6.753545229194856
0.7423822714681441, 7.058940086618742
0.8421052631578947, 7.971877642515377
0.8975069252077562, 8.240743309893658
0.8808864265927978, 9.620403271064756
0.9750692520775623, 8.805984387889808
1.0277008310249307, 9.409995934063344
1.0193905817174516, 12.269744922600792
1.0941828254847645, 9.727364683345927
1.182825484764543, 10.62699715289024
1.1994459833795015, 13.704233251866054
1.2326869806094183, 14.6442207366231
1.296398891966759, 15.64868293187734
1.4376731301939059, 13.111339374215643
1.476454293628809, 16.72204222448081
1.6897506925207757, 15.998587196060573
1.7257617728531855, 21.3270885739732
1.6759002770083102, 23.820494903897618
1.9916897506925209, 25.17447278620967
2.0498614958448753, 24.353120734334148
2.2132963988919667, 31.75416669394376
2.407202216066482, 30.046308112754257
1.548476454293629, 17.672537812854607
